verb,level,kappa,ci_low,ci_high,n,n_essays
take,A1,1626.3140365454228,1544.933469032996,1742.2097366457458,277,225
take,A2,1361.54325918107,1325.6808950179375,1405.8375364417454,930,633
take,B1+,1368.0737681464107,1321.9741689178577,1422.6785395598486,887,410
make,A1,1429.6900691072253,1384.1485302854942,1492.8280292176908,327,260
make,A2,1322.1098207092455,1300.13229764391,1347.6015473693387,1128,798
make,B1+,1305.1985850927679,1278.68432874597,1337.00197430135,930,492
like,A1,2332.692973290835,2268.4674024535916,2406.499000011042,1183,788
like,A2,2334.210220608086,2287.17969226745,2385.3410503007144,1982,1330
like,B1+,2137.349990446686,2060.3128888608394,2228.637010067425,991,518
